SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500211,INSILCO LTD.,X ,Q,17.60,17.90,17.60,17.80,17.80,17.55,9,825,14633.00,
500213,INTER.TRAVEL,X ,Q,133.95,133.95,126.30,130.70,130.70,127.70,30,837,107224.00,
500214,ION EXCHANGE,XT,Q,380.50,393.50,373.25,374.20,374.20,374.90,127,3560,1361895.00,
500215,AGRO TECH FO,B ,Q,570.00,579.00,562.50,576.20,576.95,579.25,42,449,256982.00,
500219,JAIN IRRIG  ,A ,Q,57.10,58.65,56.60,57.70,57.50,57.20,1049,844140,49029846.00,
500220,JASCH INDUST,X ,Q,49.90,50.70,48.50,49.00,48.70,49.15,32,2827,137999.00,
500223,JCT LTD     ,X ,Q,1.45,1.76,1.45,1.70,1.71,1.58,182,426209,725617.00,
500227,JINDAL POLYF,B ,Q,242.25,244.95,235.80,244.35,244.80,240.30,229,3984,954693.00,
500228,JSWSL       ,A ,Q,276.85,286.05,271.95,285.15,285.15,277.05,3864,459601,128784759.00,
500231,UMANG DAIR  ,B ,Q,46.75,46.90,45.65,46.25,46.20,45.60,10,417,19344.00,
500233,KAJARIA CER.,A ,Q,513.30,527.45,505.00,517.00,520.95,521.60,301,9836,5113896.00,
500234,KAKATIYA CEM,B ,Q,140.20,158.80,140.00,152.90,152.90,140.20,136,2679,403771.00,
500235,KALYANI STEL,B ,Q,184.05,189.25,182.15,187.55,187.00,184.05,246,9228,1713105.00,
500238,WHIRLPOOL   ,A ,Q,1376.90,1389.80,1349.10,1351.50,1355.95,1374.10,292,2307,3152419.00,
500239,KG DENIM    ,X ,Q,45.70,50.10,45.65,49.80,50.10,47.35,108,17043,827997.00,
500240,KINETIC ENG.,X ,Q,34.85,34.85,33.60,33.60,33.60,33.00,28,2546,86894.00,
500241,KIRL.BROS.  ,B ,Q,150.25,152.80,148.55,150.00,148.55,150.35,28,436,65769.00,
500243,KIRL INDUS  ,B ,Q,801.00,801.00,780.00,780.00,780.00,745.20,2,2,1581.00,
500245,KIRL.FERROUS,B ,Q,89.00,90.50,89.00,89.85,89.85,89.15,143,39237,3501725.00,
500246,ENVAIN ELECT,X ,Q,42.15,42.15,42.15,42.15,42.15,40.15,1,10,421.00,
500247,KOTAK MAH.BK,A ,Q,1252.00,1259.90,1234.00,1241.05,1241.05,1288.90,46317,4664828,5794581850.00,
500249,KSB         ,B ,Q,638.00,658.00,638.00,647.70,647.70,644.90,9,64,41315.00,
500250,L.G.BALKRISH,B ,Q,389.95,389.95,386.15,389.55,389.95,386.10,16,262,101962.00,
500251,TRENT LTD.  ,A ,Q,329.40,330.85,327.05,328.25,329.00,329.95,396,9488,3128518.00,
